,pred_n_control,pred_n_5nMTG,pred_n_NonCancerOral,true_n,precision_OVR,recall_OVR,f1_OVR,AUC_OVR,f_cases_0,f_cases_1,dataset,Focal_gamma,Focal_alpha0,Focal_alpha1,N1,N2,N3,N4,Trial,K-fold
control,45,1,0,48,0.9782608695652174,0.9375,0.9574468085106383,0.9906684027777779,"['control_Oral130.tif', 'control_Oral67.tif', 'control_Oral91.tif']",[],val,,,,256,256,128,256,0,0
5nMTG,3,47,0,48,0.94,0.9791666666666666,0.9591836734693877,0.9952256944444444,['5nMTG_00.tif'],[],val,,,,256,256,128,256,0,0
NonCancerOral,0,0,48,48,1.0,1.0,1.0,1.0,[],[],val,,,,256,256,128,256,0,0
control,58,0,0,60,1.0,0.9666666666666667,0.983050847457627,0.9998611111111111,"['control_Oral97.tif', 'control_Oral127.tif']",[],test,,,,256,256,128,256,0,0
5nMTG,2,60,0,60,0.967741935483871,1.0,0.9836065573770492,0.9998611111111111,[],[],test,,,,256,256,128,256,0,0
NonCancerOral,0,0,60,60,1.0,1.0,1.0,1.0,[],[],test,,,,256,256,128,256,0,0
control,42,0,0,48,1.0,0.875,0.9333333333333333,0.997829861111111,"['control_Oral93.tif', 'control_Oral57.tif', 'control_Oral66.tif', 'control_Oral68.tif', 'control_Oral98.tif', 'control_15.tif']",[],val,,,,256,256,128,256,0,1
5nMTG,6,48,0,48,0.8888888888888888,1.0,0.9411764705882353,0.9986979166666666,[],[],val,,,,256,256,128,256,0,1
NonCancerOral,0,0,48,48,1.0,1.0,1.0,1.0,[],[],val,,,,256,256,128,256,0,1
control,55,0,0,60,1.0,0.9166666666666666,0.9565217391304348,1.0,"['control_99.tif', 'control_Oral97.tif', 'control_Oral85.tif', 'control_Oral62.tif', 'control_Oral127.tif']",[],test,,,,256,256,128,256,0,1
5nMTG,5,60,0,60,0.9230769230769231,1.0,0.9600000000000001,1.0,[],[],test,,,,256,256,128,256,0,1
NonCancerOral,0,0,60,60,1.0,1.0,1.0,1.0,[],[],test,,,,256,256,128,256,0,1
control,48,0,0,48,1.0,1.0,1.0,1.0,[],[],val,,,,256,256,128,256,0,2
5nMTG,0,48,0,48,1.0,1.0,1.0,1.0,[],[],val,,,,256,256,128,256,0,2
NonCancerOral,0,0,48,48,1.0,1.0,1.0,1.0,[],[],val,,,,256,256,128,256,0,2
control,60,0,0,60,1.0,1.0,1.0,1.0,[],[],test,,,,256,256,128,256,0,2
5nMTG,0,60,0,60,1.0,1.0,1.0,1.0,[],[],test,,,,256,256,128,256,0,2
NonCancerOral,0,0,60,60,1.0,1.0,1.0,1.0,[],[],test,,,,256,256,128,256,0,2
control,48,0,0,48,1.0,1.0,1.0,1.0,[],[],val,,,,256,256,128,256,0,3
5nMTG,0,48,0,48,1.0,1.0,1.0,1.0,[],[],val,,,,256,256,128,256,0,3
NonCancerOral,0,0,48,48,1.0,1.0,1.0,1.0,[],[],val,,,,256,256,128,256,0,3
control,60,1,0,60,0.9836065573770492,1.0,0.9917355371900827,1.0,[],[],test,,,,256,256,128,256,0,3
5nMTG,0,59,0,60,1.0,0.9833333333333333,0.9915966386554621,1.0,['5nMTG_62.tif'],[],test,,,,256,256,128,256,0,3
NonCancerOral,0,0,60,60,1.0,1.0,1.0,1.0,[],[],test,,,,256,256,128,256,0,3
control,47,0,0,48,1.0,0.9791666666666666,0.9894736842105264,1.0,['control_77.tif'],[],val,,,,256,256,128,256,0,4
5nMTG,1,48,1,48,0.96,1.0,0.9795918367346939,1.0,[],[],val,,,,256,256,128,256,0,4
NonCancerOral,0,0,47,48,1.0,0.9791666666666666,0.9894736842105264,1.0,[],['NonCancerOral_003.tif'],val,,,,256,256,128,256,0,4
control,59,0,0,60,1.0,0.9833333333333333,0.9915966386554621,1.0,['control_Oral102.tif'],[],test,,,,256,256,128,256,0,4
5nMTG,1,60,0,60,0.9836065573770492,1.0,0.9917355371900827,1.0,[],[],test,,,,256,256,128,256,0,4
NonCancerOral,0,0,60,60,1.0,1.0,1.0,1.0,[],[],test,,,,256,256,128,256,0,4
