INTER_type,Pr_control,Pr_5nMTG,Pr_NonCancerOral,C0>C1,C0<C1,dataset,Focal_gamma,Focal_alpha0,Focal_alpha1,N1,N2,N3,N4,Trial,K-fold
0,0.5900671,0.3721525,0.037780423,0.7741935483870968,0.22580645161290322,val,,,,256,256,128,256,0,0
1,0.35935163,0.58547115,0.05517724,0.0625,0.9375,val,,,,256,256,128,256,0,0
2,0.5265899,0.42451492,0.048895247,0.65625,0.34375,val,,,,256,256,128,256,0,0
3,0.25058946,0.7089796,0.040430952,0.06060606060606061,0.9393939393939394,val,,,,256,256,128,256,0,0
0,0.6249947,0.34122846,0.03377686,0.8717948717948718,0.1282051282051282,test,,,,256,256,128,256,0,0
1,0.32938743,0.6121554,0.058457196,0.025,0.975,test,,,,256,256,128,256,0,0
2,0.54690015,0.404525,0.048574813,0.75,0.25,test,,,,256,256,128,256,0,0
3,0.24652101,0.7081748,0.045304153,0.04878048780487805,0.9512195121951219,test,,,,256,256,128,256,0,0
0,0.5277954,0.449893,0.022311648,0.5806451612903226,0.41935483870967744,val,,,,256,256,128,256,0,1
1,0.3173469,0.62963897,0.053014144,0.0,1.0,val,,,,256,256,128,256,0,1
2,0.50426424,0.43548787,0.06024788,0.65625,0.34375,val,,,,256,256,128,256,0,1
3,0.23430313,0.73969704,0.025999798,0.0,1.0,val,,,,256,256,128,256,0,1
0,0.5216511,0.4525148,0.025834115,0.6666666666666666,0.3333333333333333,test,,,,256,256,128,256,0,1
1,0.30085367,0.64694446,0.052201867,0.0,1.0,test,,,,256,256,128,256,0,1
2,0.47642905,0.45892686,0.06464411,0.525,0.475,test,,,,256,256,128,256,0,1
3,0.24087417,0.7324689,0.026656946,0.024390243902439025,0.975609756097561,test,,,,256,256,128,256,0,1
0,0.61589557,0.34584457,0.038259853,0.8064516129032258,0.1935483870967742,val,,,,256,256,128,256,0,2
1,0.44161633,0.4971818,0.06120185,0.34375,0.65625,val,,,,256,256,128,256,0,2
2,0.64052695,0.3079285,0.05154456,0.9375,0.0625,val,,,,256,256,128,256,0,2
3,0.26867884,0.6927872,0.03853398,0.06060606060606061,0.9393939393939394,val,,,,256,256,128,256,0,2
0,0.6887025,0.28208676,0.029210694,0.9230769230769231,0.07692307692307693,test,,,,256,256,128,256,0,2
1,0.3976031,0.53752565,0.06487128,0.225,0.775,test,,,,256,256,128,256,0,2
2,0.6280232,0.30918273,0.062794045,1.0,0.0,test,,,,256,256,128,256,0,2
3,0.30576646,0.6531312,0.04110234,0.024390243902439025,0.975609756097561,test,,,,256,256,128,256,0,2
0,0.5733839,0.40063092,0.02598514,0.6774193548387096,0.3225806451612903,val,,,,256,256,128,256,0,3
1,0.45244634,0.5025985,0.044955146,0.375,0.625,val,,,,256,256,128,256,0,3
2,0.67616355,0.29108432,0.032752108,0.96875,0.03125,val,,,,256,256,128,256,0,3
3,0.23346704,0.7331551,0.033377893,0.030303030303030304,0.9696969696969697,val,,,,256,256,128,256,0,3
0,0.65800446,0.3163018,0.025693767,0.9230769230769231,0.07692307692307693,test,,,,256,256,128,256,0,3
1,0.42122144,0.53853333,0.04024523,0.275,0.725,test,,,,256,256,128,256,0,3
2,0.6294742,0.32719246,0.043333337,0.95,0.05,test,,,,256,256,128,256,0,3
3,0.23942454,0.7294634,0.031112038,0.07317073170731707,0.926829268292683,test,,,,256,256,128,256,0,3
0,0.51198703,0.45431557,0.03369739,0.5161290322580645,0.4838709677419355,val,,,,256,256,128,256,0,4
1,0.36810625,0.57904935,0.052844387,0.0625,0.9375,val,,,,256,256,128,256,0,4
2,0.53516585,0.40944082,0.055393357,0.71875,0.28125,val,,,,256,256,128,256,0,4
3,0.20699161,0.76064336,0.03236502,0.030303030303030304,0.9696969696969697,val,,,,256,256,128,256,0,4
0,0.5908573,0.37474164,0.034401003,0.8205128205128205,0.1794871794871795,test,,,,256,256,128,256,0,4
1,0.34116146,0.61138976,0.047448825,0.025,0.975,test,,,,256,256,128,256,0,4
2,0.5530247,0.39176857,0.055206697,0.8,0.2,test,,,,256,256,128,256,0,4
3,0.2103416,0.75291485,0.036743544,0.0,1.0,test,,,,256,256,128,256,0,4
